2016-05-25 04:31:47,592 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:48,096 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:48,097 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:48,098 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:48,609 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:48,611 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:48,612 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:49,128 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:49,128 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:49,128 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:49,636 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:49,638 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:49,639 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:50,141 | INFO | MarkerIgnoringBase.java 95 | Processed order id 0 item 222 of 2 copies of ActiveMQ in Action
2016-05-25 04:31:50,141 | INFO | MarkerIgnoringBase.java 95 | Processed order id 1 item 111 of 2 copies of Camel in Action
2016-05-25 04:31:50,142 | INFO | MarkerIgnoringBase.java 95 | Processed order id 2 item 222 of 5 copies of ActiveMQ in Action
2016-05-25 04:31:50,143 | INFO | MarkerIgnoringBase.java 95 | Processed order id 3 item 111 of 4 copies of Camel in Action
