2016-05-25 03:53:28,130 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:53:28,169 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:53:28,185 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:53:30,103 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:53:30,123 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:53:30,123 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:53:32,117 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:53:32,136 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:53:32,136 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:53:34,123 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:53:34,141 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:53:34,141 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:53:36,124 | INFO | MarkerIgnoringBase.java 95 | select from articles
2016-05-25 03:53:36,147 | INFO | MarkerIgnoringBase.java 95 | split rows
2016-05-25 03:53:36,149 | INFO | MarkerIgnoringBase.java 95 | process row {ID=2, NAME=Camel JMS Example, CATEGORY=camel, TAGS=camel,jms, AUTHOR=Sam}
2016-05-25 03:56:45,878 | INFO | MainSupport.java 329 | Apache Camel 2.15.2 starting
2016-05-25 03:56:46,044 | INFO | AbstractApplicationContext.java 510 | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@d495e82: startup date [Wed May 25 03:56:46 IST 2016]; root of context hierarchy
2016-05-25 03:56:46,142 | INFO | XmlBeanDefinitionReader.java 317 | Loading XML bean definitions from file [C:\Users\sindhusunil\workspace\jdbcComponent\target\classes\META-INF\spring\applicationContext.xml]
2016-05-25 03:56:48,187 | INFO | DriverManagerDataSource.java 133 | Loaded JDBC driver: com.mysql.jdbc.Driver
2016-05-25 03:56:48,605 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-schema.sql]
2016-05-25 03:56:48,607 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-schema.sql] in 2 ms.
2016-05-25 03:56:48,608 | INFO | ScriptUtils.java 432 | Executing SQL script from class path resource [db-test-data.sql]
2016-05-25 03:56:48,609 | INFO | ScriptUtils.java 491 | Executed SQL script from class path resource [db-test-data.sql] in 1 ms.
2016-05-25 03:56:49,007 | INFO | DefaultCamelContext.java 2418 | Apache Camel 2.15.2 (CamelContext: camel-1) is starting
2016-05-25 03:56:49,009 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2016-05-25 03:56:49,258 | INFO | DefaultTypeConverter.java 56 | Loaded 183 type converters
2016-05-25 03:56:49,508 | INFO | DefaultCamelContext.java 2633 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2016-05-25 03:56:49,508 | INFO | DefaultCamelContext.java 2643 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
